model,train_rmse_log,test_rmse_log,train_r2,test_r2,test_rmse_dollar,generalization_gap_log_rmse,cv_rmse_log
Ridge,0.10110841618754494,0.12464358496440334,0.9329400580908843,0.9167475999667902,22730.26846862023,0.023535168776858392,0.14609252427687833
Linear Regression,0.09810402671224414,0.12558749744130768,0.9368661571323815,0.915481902588542,23023.563424829317,0.02748347072906354,0.15810603142803323
XGBoost,0.05940587987578925,0.12906008831079888,0.9768501903998732,0.910743302247456,25485.86543598773,0.06965420843500963,0.12469255620598342
Gradient Boosting,0.06596084535396242,0.1330601271796149,0.9714595389948469,0.9051247861822302,27621.22559192086,0.06709928182565249,0.12950848632871584
Lasso,0.11782917050890453,0.13497933841119297,0.9089260445898285,0.9023681565570136,25331.954721854167,0.017150167902288446,0.1473245357867553
Random Forest,0.05330511115437924,0.14364744786350356,0.9813608430797891,0.889426074426788,28936.3928572846,0.09034233670912431,0.1416814886137809
